unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ESAR,MDG,Madagascar,BCG,73,63,52,75,79,77,74,74,56,64,70,74,82,76,78,83,94,95,92,85,77,73,73,72
ESAR,MWI,Malawi,BCG,88,84,89,87,91,92,89,86,90,97,96,99,99,97,95,97,95,99,99,97,91,78,93,83
EAPR,MYS,Malaysia,BCG,99,98,99,99,99,98,99,98,99,99,99,99,99,99,99,99,99,98,98,99,99,98,98,99
ROSA,MDV,Maldives,BCG,99,99,99,99,99,99,99,99,99,99,99,99,98,97,99,98,98,99,97,98,98,99,98,99
WCAR,MLI,Mali,BCG,71,80,81,78,82,82,83,82,78,73,70,77,84,82,84,86,86,86,83,76,74,82,75,69
EAPR,MHL,Marshall Islands,BCG,99,95,83,91,89,98,92,94,99,89,93,97,80,99,98,95,92,92,93,91,93,90,99,89
WCAR,MRT,Mauritania,BCG,98,98,89,92,90,89,88,86,85,93,95,95,86,85,81,89,92,86,91,94,96,99,95,78
Non-programme,MUS,Mauritius,BCG,98,97,95,96,99,99,99,98,98,97,99,99,99,99,95,96,98,97,99,99,99,87,89,88
LACR,MEX,Mexico,BCG,89,95,99,28,76,96,94,99,98,96,91,99,99,98,99,99,99,99,99,99,99,99,99,99
EAPR,FSM,Micronesia (Federated States of),BCG,77,75,59,84,77,80,83,85,76,73,70,78,75,70,75,79,82,55,70,62,64,52,39,24
Non-programme,MCO,Monaco,BCG,,,,,,,,,,,,,,,,,89,89,89,89,89,92,94,97
EAPR,MNG,Mongolia,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,98,99,98,98,98,98,97
ECAR,MNE,Montenegro,BCG,80,86,76,67,80,93,83,85,88,91,93,95,97,95,95,98,98,98,,,,,,
MENA,MAR,Morocco,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,95,95,95,92,92,93,97
ESAR,MOZ,Mozambique,BCG,93,90,84,89,93,93,93,93,93,93,92,92,91,90,90,90,90,90,90,90,90,87,86,84
EAPR,MMR,Myanmar,BCG,80,79,48,87,91,90,91,88,94,92,86,87,93,93,93,88,89,85,76,85,80,82,75,88
ESAR,NAM,Namibia,BCG,91,92,93,99,98,96,94,89,94,97,94,90,89,88,85,88,95,88,95,94,92,81,69,77
EAPR,NRU,Nauru,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,90,93,97,99,99,93
ROSA,NPL,Nepal,BCG,97,96,95,92,96,96,95,93,94,99,97,96,97,94,94,87,89,93,87,85,91,85,84,84
LACR,NIC,Nicaragua,BCG,79,89,86,93,99,99,99,99,99,99,99,99,99,99,99,99,98,98,88,88,94,93,97,96
WCAR,NER,Niger,BCG,93,95,95,94,70,87,92,91,94,87,43,85,53,81,86,78,73,69,64,61,58,56,53,50
WCAR,NGA,Nigeria,BCG,74,74,74,74,75,71,67,64,53,51,51,51,57,62,76,65,53,52,49,45,42,38,41,44
EAPR,NIU,Niue,BCG,99,99,88,94,99,99,99,92,99,99,99,99,99,99,99,99,99,99,97,96,99,99,99,99
ECAR,MKD,North Macedonia,BCG,93,93,93,93,93,93,97,99,94,99,97,95,94,96,98,94,95,92,99,94,95,91,97,97
MENA,OMN,Oman,BCG,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98
ROSA,PAK,Pakistan,BCG,96,95,93,91,93,90,86,86,86,85,84,84,83,74,74,75,77,77,78,78,80,82,78,74
LACR,PAN,Panama,BCG,99,99,99,99,99,99,99,99,99,99,95,98,99,99,99,98,97,98,99,99,99,99,99,99
EAPR,PNG,Papua New Guinea,BCG,43,48,42,52,45,52,62,72,67,84,93,91,91,88,89,80,81,90,90,89,89,84,81,88
LACR,PRY,Paraguay,BCG,78,79,79,84,87,91,96,94,96,96,91,93,94,93,91,94,98,99,98,97,88,83,86,85
LACR,PER,Peru,BCG,87,89,87,87,94,94,92,90,91,94,95,95,91,95,97,97,96,96,95,95,94,92,87,93
EAPR,PHL,Philippines,BCG,91,87,71,88,89,89,90,90,85,88,92,95,94,93,92,91,90,91,91,91,86,85,92,92
Non-programme,POL,Poland,BCG,90,90,92,91,91,91,92,93,94,92,93,94,94,93,94,93,93,94,94,94,93,95,95,96
